id,name,parent_id
704,ポスター,6-3-6
705,タオル,6-3-7
706,その他,6-3-8
707,トレーディングカード,6-4
708,遊戯王,6-4-1
709,マジック：ザ・ギャザリング,6-4-2
710,ポケモンカードゲーム,6-4-3
711,デュエルマスターズ,6-4-4
712,バトルスピリッツ,6-4-5
713,プリパラ,6-4-6
714,アイカツ,6-4-7
715,カードファイト!! ヴァンガード,6-4-8
716,ヴァイスシュヴァルツ,6-4-9
717,プロ野球オーナーズリーグ,6-4-10
718,ベースボールヒーローズ,6-4-11
719,ドラゴンボール,6-4-12
720,スリーブ,6-4-13
721,その他,6-4-14
722,フィギュア,6-5
723,コミック/アニメ,6-5-1
724,特撮,6-5-2
725,ゲームキャラクター,6-5-3
726,SF/ファンタジー/ホラー,6-5-4
727,アメコミ,6-5-5
728,スポーツ,6-5-6
729,ミリタリー,6-5-7
730,その他,6-5-8
731,楽器/器材,6-6
732,エレキギター,6-6-1
733,アコースティックギター,6-6-2
734,ベース,6-6-3
735,エフェクター,6-6-4
736,アンプ,6-6-5
737,弦楽器,6-6-6
738,管楽器,6-6-7
739,鍵盤楽器,6-6-8
740,打楽器,6-6-9
741,和楽器,6-6-10
742,楽譜/スコア,6-6-11
743,レコーディング/PA機器,6-6-12
744,DJ機器,6-6-13
745,DTM/DAW,6-6-14
746,その他,6-6-15
747,コレクション,6-7
748,武具,6-7-1
749,使用済切手/官製はがき,6-7-2
750,旧貨幣/金貨/銀貨/記念硬貨,6-7-3
751,印刷物,6-7-4
752,ノベルティグッズ,6-7-5
753,その他,6-7-6
754,ミリタリー,6-8
755,トイガン,6-8-1
756,個人装備,6-8-2
757,その他,6-8-3
758,美術品,6-9
759,陶芸,6-9-1
760,ガラス,6-9-2
761,漆芸,6-9-3
762,金属工芸,6-9-4
763,絵画/タペストリ,6-9-5
764,版画,6-9-6
765,彫刻/オブジェクト,6-9-7
766,書,6-9-8
767,写真,6-9-9
768,その他,6-9-10
769,アート用品,6-10
770,画材,6-10-1
771,額縁,6-10-2
772,その他,6-10-3
773,その他,6-11
774,トランプ/UNO,6-11-1
775,カルタ/百人一首,6-11-2
776,ダーツ,6-11-3
777,ビリヤード,6-11-4
778,麻雀,6-11-5
779,パズル/ジグソーパズル,6-11-6
780,囲碁/将棋,6-11-7
781,オセロ/チェス,6-11-8
782,人生ゲーム,6-11-9
783,野球/サッカーゲーム,6-11-10
784,スポーツ,6-11-11
785,三輪車/乗り物,6-11-12
786,ヨーヨー,6-11-13
787,模型製作用品,6-11-14
788,鉄道,6-11-15
789,航空機,6-11-16
790,アマチュア無線,6-11-17
791,パチンコ/パチスロ,6-11-18
792,その他,6-11-19
